Year,Player,Position,Age,School,Height,Weight,40 Yard Dash,Vertical,Bench Reps,Broad Jump,3Cone,Shuttle,Round,Team,Conference
2020,Trishton Jackson,WR,N/A,Syracuse,6.1 ft,197,4.5,36,N/A,117,N/A,N/A,N/A,N/A,Big East 
2020,Jalen Reagor,WR,21,TCU,5.11 ft,206,4.47,42,17,138,7.31,4.46,1,Philadelphia Eagles,Big 12
2020,Lucas Niang,OL,21,TCU,6.6 ft,315,N/A,N/A,N/A,N/A,N/A,N/A,3,Kansas City Chiefs,Big 12
2020,Sewo Olonilua,RB,N/A,TCU,6.3 ft,232,4.66,36,25,123,N/A,4.28,N/A,N/A,Big 12
2020,Cordel Iwuagwu,OL,N/A,TCU,6.3 ft,309,5.22,27,25,94,8.03,4.87,N/A,N/A,Big 12
2020,Matt Hennessy,OL,22,Temple,6.4 ft,307,5.18,30,23,110,7.45,4.6,3,Atlanta Falcons,The American
2020,Chapelle Russell,LB,N/A,Temple,6.2 ft,236,4.69,35,21,121,7.38,4.41,7,Tampa Bay Buccaneers,The American
2020,Darrell Taylor,LB,N/A,Tennessee,6.4 ft,267,N/A,N/A,N/A,N/A,N/A,N/A,2,Seattle Seahawks,SEC
2020,Jauan Jennings,WR,N/A,Tennessee,6.3 ft,215,4.72,29,N/A,119,N/A,N/A,7,San Franciscso 49ers,SEC
2020,Dom Wood-Anderson,TE,N/A,Tennessee,6.4 ft,261,4.92,35,N/A,119,N/A,N/A,N/A,N/A,SEC
2020,Brandon Jones,S,21,Texas,5.11 ft,198,N/A,N/A,N/A,N/A,N/A,N/A,3,Miami Dolphins,Big 12
2020,Collin Johnson,WR,N/A,Texas,6.6 ft,222,N/A,N/A,17,N/A,N/A,N/A,5,Jacksonville Jaguars,Big 12
2020,Malcolm Roach,DL,N/A,Texas,6.2 ft,297,4.84,30,20,114,N/A,N/A,N/A,N/A,Big 12
2020,Justin Madubuike,DL,N/A,Texas A&M,6.3 ft,293,4.83,N/A,31,N/A,7.37,N/A,3,Baltimore Ravens,SEC
2020,Braden Mann,P,N/A,Texas A&M,5.11 ft,198,4.83,31,N/A,111,7.03,4.13,6,New York Jets,SEC
2020,Kendrick Rogers,WR,N/A,Texas A&M,6.4 ft,208,4.51,35.5,17,124,7.13,4.48,N/A,N/A,SEC
2020,Broderick Washington,DL,N/A,Texas Tech,6.2 ft,305,N/A,N/A,23,N/A,N/A,N/A,5,Baltimore Ravens,Big 12
2020,Terence Steele,OL,N/A,Texas Tech,6.6 ft,312,5.03,27.5,27,106,N/A,5.08,N/A,N/A,Big 12
2020,Darnell Mooney,WR,N/A,Tulane,5.10 ft,176,4.38,37,9,124,N/A,N/A,5,Chicago Bears,AAC
2020,BoPete Keyes,CB,N/A,Tulane,6.1 ft,202,N/A,36,N/A,126,N/A,N/A,7,Kansas City Chiefs,AAC
2020,Reggie Robinson II,CB,N/A,Tulsa,6.1 ft,205,4.44,36,22,132,7.09,4.18,4,Dallas Cowboys,The American
2020,Joshua Kelley,RB,N/A,UCLA,5.11 ft,212,4.49,31,23,121,6.95,4.28,4,Los Angeles Chargers,Pac 12
2020,Darnay Holmes,CB,N/A,UCLA,5.10 ft,195,4.48,N/A,12,N/A,N/A,N/A,4,New York Giants,Pac 12
2020,JJ Molson,K,N/A,UCLA,5.11 ft,182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pac 12
2020,Austin Jackson,OL,20,USC,6.5 ft,322,5.07,31,27,115,7.95,N/A,1,Miami Dolphins,Pac 12
2020,Michael Pittman,WR,22,USC,6.4 ft,223,4.52,36.5,13,121,6.96,4.14,2,Indianapolis Colts,Pac 12
2020,Jaylon Johnson,CB,21,Utah,6.1 ft,193,4.5,36.5,15,124,7.01,4.13,2,Chicago Bears,Pac 12
2020,Zack Moss,RB,22,Utah,5.9 ft,223,4.65,33,19,N/A,N/A,4.37,3,Buffalo Bills,Pac 12
2020,John Penisini,DL,N/A,Utah,6.1 ft,318,N/A,25.5,23,N/A,N/A,4.93,6,Detroit Lions,Pac 12
2020,Jordan Love,QB,21,Utah State,6.4 ft,224,4.74,35.5,N/A,118,7.21,4.52,1,Green Bay Packers,MW
2020,David Woodward,LB,N/A,Utah State,6.2 ft,230,4.79,33.5,16,114,7.34,4.37,N/A,N/A,MW
2020,Ke'Shawn Vaughn,RB,22,Vanderbilt,5.10 ft,214,4.51,32,N/A,117,N/A,N/A,3,Tampa Bay Buccaneers,SEC
2020,Jared Pinkney,TE,N/A,Vanderbilt,6.4 ft,257,4.96,N/A,23,N/A,N/A,N/A,N/A,N/A,SEC
2020,Kalija Lipscomb,WR,N/A,Vanderbilt,6.1 ft,207,4.57,32,16,127,N/A,N/A,N/A,N/A,SEC
2020,Joe Reed,WR,N/A,Virginia,6.1 ft,224,4.47,38,21,123,N/A,N/A,5,Los Angeles Chargers,ACC
2020,Jordan Mack,LB,N/A,Virginia,6.3 ft,241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACC
2020,Dalton Keene,TE,20,Virginia Tech,6.4 ft,253,4.71,34,21,125,7.07,4.19,3,New England Patriots,ACC
2020,Justin Strnad,LB,N/A,Wake Forest,6.3 ft,238,4.74,29,N/A,113,N/A,4.49,5,Denver Broncos,ACC
2020,Justin Herron,OL,N/A,Wake Forest,6.4 ft,308,5.26,33,27,105,8.41,4.88,6,New England Patriots,ACC
2020,Dezmon Patmon,WR,N/A,Washington State,6.4 ft,225,4.48,36,15,132,7.28,4.38,6,Indianapolis Colts,Pac 12
2020,Colton McKivitz,OL,N/A,West Virginia,6.6 ft,306,5.35,26,20,106,7.87,5,5,San Franciscso 49ers,Big East
2020,Jonathan Taylor,RB,N/A,Wisconsin,5.10 ft,226,4.39,36,17,123,7.01,4.24,2,Indianapolis Colts,Big 10
2020,Logan Wilson,LB,23,Wyoming,6.2 ft,241,4.63,32,21,121,7.07,4.27,3,Cincinatti Bengals,MW
